CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
81940480,1,1,1,M,38,7,1,M,G,0,"LOS ANGELES","MONTEREY PARK",2022
82186597,1,1,1,M,40,7,1,M,G,0,"LOS ANGELES",BURBANK,2022
82188410,2,1,4,M,52,6,1,-,W,1,"LOS ANGELES",BURBANK,2022
91678152,1,1,1,M,26,6,1,M,G,0,"LOS ANGELES",UNINCORPORATED,2022
91679239,1,1,1,M,21,6,1,L,G,0,"LOS ANGELES",UNINCORPORATED,2022
91679239,1,2,2,F,19,5,6,L,H,0,"LOS ANGELES",UNINCORPORATED,2022
91679239,1,3,2,M,21,5,4,L,H,0,"LOS ANGELES",UNINCORPORATED,2022
91679239,2,1,1,M,45,5,1,L,G,0,"LOS ANGELES",UNINCORPORATED,2022
91686840,1,1,2,F,12,7,6,L,G,0,"LOS ANGELES",UNINCORPORATED,2022
91686840,1,2,2,M,13,7,3,L,G,0,"LOS ANGELES",UNINCORPORATED,2022
91686840,1,3,1,F,32,7,1,L,G,0,"LOS ANGELES",UNINCORPORATED,2022
9448374,2,1,1,M,53,6,1,L,G,0,"LOS ANGELES",COMMERCE,2022
9448374,3,1,2,F,21,0,3,M,G,0,"LOS ANGELES",COMMERCE,2022
9448374,4,1,2,-,998,0,3,M,G,0,"LOS ANGELES",COMMERCE,2022
9440005,2,1,1,M,32,6,1,P,W,0,"LOS ANGELES","LOS ANGELES",2022
9440005,2,2,2,M,22,6,4,P,W,0,"LOS ANGELES","LOS ANGELES",2022
9440663,2,1,1,M,23,5,1,L,G,0,"LOS ANGELES",INDUSTRY,2022
9442161,1,1,3,M,18,3,1,P,-,0,"LOS ANGELES",NORWALK,2022
9443901,1,1,2,F,53,4,1,L,G,0,"LOS ANGELES",WHITTIER,2022
9447465,1,1,2,F,23,2,2,L,G,1,"LOS ANGELES",PASADENA,2022
9448061,1,1,1,M,26,6,-,M,G,0,"LOS ANGELES",COMMERCE,2022
81751961,1,1,1,M,17,6,1,L,-,0,"LOS ANGELES",INGLEWOOD,2022
81751961,2,1,2,M,23,7,3,L,G,0,"LOS ANGELES",INGLEWOOD,2022
81751961,2,2,1,M,28,7,1,L,G,0,"LOS ANGELES",INGLEWOOD,2022
81797206,1,1,1,M,73,7,1,L,G,0,"LOS ANGELES","MONTEREY PARK",2022
81809531,2,1,1,F,24,7,1,M,G,0,"LOS ANGELES","SANTA MONICA",2022
81809531,2,2,2,F,26,7,3,M,G,0,"LOS ANGELES","SANTA MONICA",2022
81809531,2,3,2,M,24,7,6,M,G,0,"LOS ANGELES","SANTA MONICA",2022
81874000,2,1,1,F,32,7,1,L,G,0,"LOS ANGELES","SOUTH GATE",2022
9432052,1,1,1,F,32,2,1,L,G,-,"LOS ANGELES","LOS ANGELES",2022
9432052,2,1,2,M,21,2,3,L,G,-,"LOS ANGELES","LOS ANGELES",2022
9432052,2,2,1,F,28,2,1,L,G,-,"LOS ANGELES","LOS ANGELES",2022
9433645,1,1,4,M,34,4,0,P,V,2,"LOS ANGELES",WHITTIER,2022
9542145,2,1,3,M,22,4,-,P,-,0,"LOS ANGELES","LOS ANGELES",2022
9543202,2,1,2,F,1,0,-,-,-,-,"LOS ANGELES","LONG BEACH",2022
9543202,2,2,2,F,26,6,3,-,G,0,"LOS ANGELES","LONG BEACH",2022
9555201,1,1,2,F,12,7,6,L,G,0,"LOS ANGELES","LOS ANGELES",2022
9555201,1,2,2,M,16,7,4,L,G,0,"LOS ANGELES","LOS ANGELES",2022
9555201,1,3,1,F,42,7,1,L,G,0,"LOS ANGELES","LOS ANGELES",2022
9555201,2,1,1,M,57,6,1,M,G,0,"LOS ANGELES","LOS ANGELES",2022
9555201,3,1,1,M,31,7,1,M,G,0,"LOS ANGELES","LOS ANGELES",2022
9561512,2,1,4,F,15,6,1,P,A,1,"LOS ANGELES","LONG BEACH",2022
9570785,2,1,2,M,28,6,1,M,B,0,"LOS ANGELES","LOS ANGELES",2022
9570835,2,1,4,M,47,6,1,P,V,1,"LOS ANGELES","LOS ANGELES",2022
9529676,2,1,1,F,23,6,1,M,G,0,"LOS ANGELES",CARSON,2022
9532189,1,1,4,-,14,6,1,P,V,0,"LOS ANGELES",NORWALK,2022
9532393,1,1,1,F,56,3,1,G,-,0,"LOS ANGELES","LONG BEACH",2022
9532393,2,1,1,M,86,3,1,G,-,0,"LOS ANGELES","LONG BEACH",2022
9538219,1,1,2,M,32,7,3,M,G,0,"LOS ANGELES","LONG BEACH",2022
9541692,1,1,1,F,23,4,1,M,G,0,"LOS ANGELES",ARCADIA,2022
9541698,1,1,1,F,41,4,-,M,G,0,"LOS ANGELES","BEVERLY HILLS",2022
9541698,2,1,1,F,30,4,-,L,G,0,"LOS ANGELES","BEVERLY HILLS",2022
9524562,1,1,1,M,27,4,1,M,G,0,"LOS ANGELES","BEVERLY HILLS",2022
